timesteps,reward
10000 , -16.953700816165657
20000 , -15.794350762077375
30000 , -16.48995084047783
40000 , -18.609300806385
50000 , -16.906050768092975
60000 , -8.403050547791645
70000 , -11.599750522791874
80000 , -12.31650059982203
90000 , -9.511000555963255
100000 , -9.158400626655203
110000 , -4.992600693553686
120000 , -7.598200682189781
130000 , -6.588950680958805
140000 , -6.056800612696679
150000 , -15.59775109947077
160000 , -11.734200744709232
170000 , -11.185400764941004
180000 , -9.19005066495738
timesteps,reward
10000 , -13.417450825934065
20000 , -8.651750772882952
30000 , -10.819450701912865
40000 , -10.797050698677776
